timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
109.00;-25.47;-4.95;0.00;0.00;0.47;0.00;10.00;14.95;0.00;0.13;0.19;1.77;0.05;25.47;25.47;4.95;0.00;0.00;0.42;0.00;25.00;14.95;-0.00
110.00;-23.38;-5.09;0.00;0.00;0.00;0.00;9.35;14.44;0.00;0.00;0.18;1.71;0.05;23.38;23.38;5.09;0.00;0.00;0.00;0.00;23.38;14.44;-0.00
111.00;-17.07;-4.65;0.00;0.00;0.00;0.00;6.83;11.48;0.00;0.00;0.14;1.36;0.05;17.07;17.07;4.65;0.00;0.00;0.00;0.00;17.07;11.48;-0.00
112.00;-16.11;-4.44;0.00;0.00;0.00;0.00;6.45;10.89;0.00;0.00;0.14;1.29;0.05;16.11;16.11;4.44;0.00;0.00;0.00;0.00;16.11;10.89;-0.00
113.00;-16.32;-4.44;0.00;0.00;0.00;0.00;6.53;10.97;0.00;0.00;0.14;1.30;0.05;16.32;16.32;4.44;0.00;0.00;0.00;0.00;16.32;10.97;-0.00
114.00;-14.72;-4.43;0.00;0.00;0.00;0.00;5.89;10.32;0.00;0.00;0.13;1.22;0.05;14.72;14.72;4.43;0.00;0.00;0.00;0.00;14.72;10.32;-0.00
115.00;-17.87;-4.43;0.00;0.00;0.00;0.00;7.15;11.58;0.00;0.00;0.14;1.37;0.05;17.87;17.87;4.43;0.00;0.00;0.00;0.00;17.87;11.58;-0.00
116.00;-22.91;-4.43;0.00;0.00;0.00;0.00;9.17;13.59;0.00;0.00;0.17;1.61;0.05;22.91;22.91;4.43;0.00;0.00;0.00;0.00;22.91;13.59;-0.00
117.00;-20.03;-4.56;0.00;0.00;0.00;0.00;8.01;12.57;0.00;0.00;0.16;1.49;0.05;20.03;20.03;4.56;0.00;0.00;0.00;0.00;20.03;12.57;-0.00
118.00;-22.15;-4.63;0.00;0.00;0.00;0.00;8.86;13.49;0.00;0.00;0.17;1.60;0.05;22.15;22.15;4.63;0.00;0.00;0.00;0.00;22.15;13.49;-0.00
119.00;-17.58;-4.49;0.00;0.00;0.00;0.00;7.03;11.52;0.00;0.00;0.14;1.37;0.05;17.58;17.58;4.49;0.00;0.00;0.00;0.00;17.58;11.52;-0.00
120.00;-11.23;-4.61;0.05;0.00;0.00;0.79;4.81;9.37;0.00;0.00;0.12;1.11;0.05;11.23;11.23;4.61;0.05;0.00;0.00;0.71;12.02;9.37;-0.00
